Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,435095,250,1,NATGASMINI,NATGASMINI23AUG24C240,23-AUG-2024,OPTFUT,CE,240,0.05,
MCX,435096,250,1,NATGASMINI,NATGASMINI23AUG24P240,23-AUG-2024,OPTFUT,PE,240,0.05,
MCX,435207,250,1,NATGASMINI,NATGASMINI23AUG24C235,23-AUG-2024,OPTFUT,CE,235,0.05,
MCX,435208,250,1,NATGASMINI,NATGASMINI23AUG24C230,23-AUG-2024,OPTFUT,CE,230,0.05,
MCX,435209,250,1,NATGASMINI,NATGASMINI23AUG24C225,23-AUG-2024,OPTFUT,CE,225,0.05,
MCX,435210,250,1,NATGASMINI,NATGASMINI23AUG24C220,23-AUG-2024,OPTFUT,CE,220,0.05,
MCX,435211,250,1,NATGASMINI,NATGASMINI23AUG24C215,23-AUG-2024,OPTFUT,CE,215,0.05,
MCX,435212,250,1,NATGASMINI,NATGASMINI23AUG24C210,23-AUG-2024,OPTFUT,CE,210,0.05,
MCX,435213,250,1,NATGASMINI,NATGASMINI23AUG24C205,23-AUG-2024,OPTFUT,CE,205,0.05,
MCX,435214,250,1,NATGASMINI,NATGASMINI23AUG24C200,23-AUG-2024,OPTFUT,CE,200,0.05,
MCX,435215,250,1,NATGASMINI,NATGASMINI23AUG24C195,23-AUG-2024,OPTFUT,CE,195,0.05,
MCX,435216,250,1,NATGASMINI,NATGASMINI23AUG24C190,23-AUG-2024,OPTFUT,CE,190,0.05,
MCX,435217,250,1,NATGASMINI,NATGASMINI23AUG24C185,23-AUG-2024,OPTFUT,CE,185,0.05,
MCX,435218,250,1,NATGASMINI,NATGASMINI23AUG24C180,23-AUG-2024,OPTFUT,CE,180,0.05,
MCX,435219,250,1,NATGASMINI,NATGASMINI23AUG24C175,23-AUG-2024,OPTFUT,CE,175,0.05,
MCX,435220,250,1,NATGASMINI,NATGASMINI23AUG24C170,23-AUG-2024,OPTFUT,CE,170,0.05,
MCX,435221,250,1,NATGASMINI,NATGASMINI23AUG24C165,23-AUG-2024,OPTFUT,CE,165,0.05,
MCX,435222,250,1,NATGASMINI,NATGASMINI23AUG24C245,23-AUG-2024,OPTFUT,CE,245,0.05,
MCX,435223,250,1,NATGASMINI,NATGASMINI23AUG24C250,23-AUG-2024,OPTFUT,CE,250,0.05,
MCX,435224,250,1,NATGASMINI,NATGASMINI23AUG24C255,23-AUG-2024,OPTFUT,CE,255,0.05,
MCX,435225,250,1,NATGASMINI,NATGASMINI23AUG24C260,23-AUG-2024,OPTFUT,CE,260,0.05,
MCX,435226,250,1,NATGASMINI,NATGASMINI23AUG24C265,23-AUG-2024,OPTFUT,CE,265,0.05,
MCX,435227,250,1,NATGASMINI,NATGASMINI23AUG24C270,23-AUG-2024,OPTFUT,CE,270,0.05,
MCX,435228,250,1,NATGASMINI,NATGASMINI23AUG24C275,23-AUG-2024,OPTFUT,CE,275,0.05,
MCX,435229,250,1,NATGASMINI,NATGASMINI23AUG24C280,23-AUG-2024,OPTFUT,CE,280,0.05,
MCX,435230,250,1,NATGASMINI,NATGASMINI23AUG24C285,23-AUG-2024,OPTFUT,CE,285,0.05,
MCX,435231,250,1,NATGASMINI,NATGASMINI23AUG24C290,23-AUG-2024,OPTFUT,CE,290,0.05,
MCX,435232,250,1,NATGASMINI,NATGASMINI23AUG24C295,23-AUG-2024,OPTFUT,CE,295,0.05,
MCX,435233,250,1,NATGASMINI,NATGASMINI23AUG24C300,23-AUG-2024,OPTFUT,CE,300,0.05,
MCX,435234,250,1,NATGASMINI,NATGASMINI23AUG24C305,23-AUG-2024,OPTFUT,CE,305,0.05,
MCX,435235,250,1,NATGASMINI,NATGASMINI23AUG24C310,23-AUG-2024,OPTFUT,CE,310,0.05,
MCX,435236,250,1,NATGASMINI,NATGASMINI23AUG24C315,23-AUG-2024,OPTFUT,CE,315,0.05,
MCX,435237,250,1,NATGASMINI,NATGASMINI23AUG24P235,23-AUG-2024,OPTFUT,PE,235,0.05,
MCX,435238,250,1,NATGASMINI,NATGASMINI23AUG24P230,23-AUG-2024,OPTFUT,PE,230,0.05,
MCX,435239,250,1,NATGASMINI,NATGASMINI23AUG24P225,23-AUG-2024,OPTFUT,PE,225,0.05,
MCX,435240,250,1,NATGASMINI,NATGASMINI23AUG24P220,23-AUG-2024,OPTFUT,PE,220,0.05,
MCX,435241,250,1,NATGASMINI,NATGASMINI23AUG24P215,23-AUG-2024,OPTFUT,PE,215,0.05,
MCX,435242,250,1,NATGASMINI,NATGASMINI23AUG24P210,23-AUG-2024,OPTFUT,PE,210,0.05,
MCX,435243,250,1,NATGASMINI,NATGASMINI23AUG24P205,23-AUG-2024,OPTFUT,PE,205,0.05,
MCX,435244,250,1,NATGASMINI,NATGASMINI23AUG24P200,23-AUG-2024,OPTFUT,PE,200,0.05,
MCX,435245,250,1,NATGASMINI,NATGASMINI23AUG24P195,23-AUG-2024,OPTFUT,PE,195,0.05,
MCX,435246,250,1,NATGASMINI,NATGASMINI23AUG24P190,23-AUG-2024,OPTFUT,PE,190,0.05,
MCX,435247,250,1,NATGASMINI,NATGASMINI23AUG24P185,23-AUG-2024,OPTFUT,PE,185,0.05,
MCX,435248,250,1,NATGASMINI,NATGASMINI23AUG24P180,23-AUG-2024,OPTFUT,PE,180,0.05,
MCX,435249,250,1,NATGASMINI,NATGASMINI23AUG24P175,23-AUG-2024,OPTFUT,PE,175,0.05,
MCX,435250,250,1,NATGASMINI,NATGASMINI23AUG24P170,23-AUG-2024,OPTFUT,PE,170,0.05,
MCX,435251,250,1,NATGASMINI,NATGASMINI23AUG24P165,23-AUG-2024,OPTFUT,PE,165,0.05,
